aspectRatio,pageviews
1.8105,132
1.7051,316
2.2642,206
1.5376,200
0.9275,235
0.8556,1498
0.7664,883
1.6269,204
2.1807,91
1.7442,449
1.1585,110
1.2576,116
0.957,125
1.973,422
1.9647,435
2.0227,178
1.8963,69
1.6308,269
1.3723,112
0.9845,125
1.4868,454
1.907,211
1.9,5752
2.35,192
1.8642,180
13.6667,141
1.0156,311
1.2597,178
1.8831,321
0.5632,93
1.1625,115
1.8611,1194
1.7361,861
2.2235,166
1.25,1182
1.8941,242
1.9669,682
0.9677,179
2.0964,144
2.2258,224
1.3261,155
2.4242,527
1.2838,284
1.5075,380
1.2043,145
1.9839,587
1.0405,678
2.022,186
1.8925,179
1.4462,135
2.0845,491
2.0822,9945
1.0313,614
1.0429,319
2.0154,911
1.9178,1900
1.8119,280
2.2593,366
1.6593,236
1.5313,248
1.5949,352
1.6462,352
1.7553,337
1.1233,355
1.1059,175
1.6092,192
1.8154,602
1.2537,83
0.6957,4256
2.4643,193
1.3143,226
2.5714,925
0.9549,91
1.3231,101
0.5246,435
1.2877,237
1.5538,568
0.7981,596
0.8571,1257
2.6596,296
1.0875,143
2.1111,143709
2.0241,850
1.1591,207
1.9079,989
2.1146,382
0.8901,80
1.8947,20227
1.9151,88
2.1084,185
2.2951,230
1.0857,322
0.5541,10328
1.1209,76
2.3455,129
1.7662,768
1.9457,500
1.6742,9266
1.5119,127
1.359,78
2.0732,270
0.6508,3544
1.967,784
2.1364,1546
2.1224,93
2.0127,471
0.831,162
2.0494,237
1.7581,399
1.725,868
1.6042,100
2.1294,167
1.4835,211
1.0411,487
1.4419,373
1.0978,125
1.7841,319
1.0896,94
1.2125,92
1.6951,276
2.0392,161
1.4588,122
1.9787,783
0.717,8146
1.7089,915
1.8316,100
0.5224,61
2.3387,194
